Player,Rundle,QPct
A ClergetS,D Arctic Div 2,0.46
AagaardK,D Patagonia Div 1,0.54666666666667
AakaluV,E Riviera Div 1,0.43055555555556
AakerJ,E Tempest Div 1,0.36111111111111
AanensenK,D Maritime Div 2,0.31333333333333
AarhusD,B Denali,0.63333333333333
AaronA,A Rubicon,0.71333333333333
AaronJ,R Div 20,0.22916666666667
AaronK,B Coastal,0.63333333333333
AaronsonA47,D Labyrinth Div 1,0.5
AaronsonS,A Oasis,0.80666666666667
Aas S,B Nighthawk,0.64
AasengM,E Mesa Div 1,0.34057971014493
AastorpH,C Meridian,0.62
AbadiM,D Metro Div 2,0.51333333333333
AbateS,D Tundra Div 1,0.41666666666667
AbbasA,E Nebula Div 2,0.32666666666667
AbbettW,D Foothills Div 1,0.54666666666667
Abbott-KlineT,E Valhalla Div 2,0.34126984126984
AbbottC,R Div 64,0.38636363636364
AbbottS2,D Alpine Div 1,0.53623188405797
AbdalianA,B Commonwealth,0.66
AbdullaS,R Div 50,0.54
AbelE,C Willow,0.47333333333333
AbelesD,C Peninsula,0.51388888888889
AbelG,C Pioneer Div 2,0.45333333333333
AbelJ,A Nebula,0.74
AbellaJ,D Garden Div 2,0.45333333333333
AbelmanJA,D Horizon Div 1,0.46666666666667
AbelowJ,C Highland,0.5
AbelSR,D Waterfront Div 1,0.46666666666667
AbendA,C Polaris,0.65217391304348
AbendB,E Quay Div 1,0.26
AbendM,B Foothills,0.625
AbensR,E Skyline Div 1,0.2
AbernathyC,E Rainbow Div 1,0.36
AbernethyD,A Valhalla,0.63333333333333
AbidiA,E Sunrise Div 2,0.43333333333333
AbolafiaD,A Zenith,0.90666666666667
AbonamahJ,E Frontier Div 2,0.4375
Abou-SayedT,A River,0.86
AboutorabiB,B Plateau,0.65972222222222
AbplanalpJ,E Highland Div 2,0.20833333333333
AbrahamC2,E Veldt Div 3,0.26666666666667
AbrahamC4,C Outback Div 2,0.57333333333333
AbrahamianT,D Pacific Div 2,0.41304347826087
AbrahamJ,A Oasis,0.72916666666667
AbrahamM,C Pampas,0.52666666666667
AbrahamN,E Coastal Div 1,0.37333333333333
AbrahamP,E Cypress Div 2,0.53472222222222
AbrahamS2,C Skyline,0.50666666666667
AbrahamsonS,A Cove,0.74
AbramowitzA,E Jungle Div 1,0.23333333333333
Abrams-DowneyS,A Monolith,0.76666666666667
Abrams-HillS,R Div 59,0.47222222222222
Abrams-SlepT,E Peninsula Div 2,0.34
AbramsA2,D Magnolia Div 1,0.5
AbramsC,A Junction,0.76
AbramsG,C Junction,0.43333333333333
AbramsM,D Centennial Div 2,0.46666666666667
AbramsonG,A Sierra,0.66666666666667
AbramsonJ2,R Div 20,0.62666666666667
AbreschS2,B Maelstrom,0.57333333333333
AbreschSE,E Maelstrom Div 2,0.28666666666667
AbreuM,R Div 58,0.14666666666667
AbruscatoB,E Blue Div 2,0.22222222222222
AbsgartenE,E Midland Div 1,0.23015873015873
AbuzaDave,E Eclipse Div 1,0.42
AbzugS,R Div 11,0.39333333333333
AccinnoM,D Tranquility Div 1,0.37333333333333
AcerB,E Morningstar Div 2,0.26
AcevedoD,D Ziggurat Div 2,0.35333333333333
AcharyaA,E Pacific Div 1,0.31333333333333
AcharyaR,R Div 62,0.50666666666667
AcheeJ,C Ridge Div 1,0.56
AchesonD,C Prairie,0.44444444444444
AchkarP,D Waterfront Div 1,0.51515151515152
AckA,D Evergreen Div 1,0.45333333333333
AckellW,C Nighthawk,0.50757575757576
Acker-RothenbergL,E Prairie Div 1,0.44444444444444
AckerM,B Mesa,0.6231884057971
AckermanR2,R Div 45,0.58
Acosta-FoxR,C Sakura,0.43333333333333
AcostaAS,R Div 1,0.25333333333333
AcostaN,R Div 1,0.3030303030303
ActonA,D Obsidian Div 1,0.45333333333333
ActonS,C Mojave Div 2,0.57333333333333
AdairS,C Highland,0.50724637681159
AdamczykA,D Wilderness Div 1,0.45138888888889
AdamD,E Summit Div 1,0.16666666666667
AdamekD,B Aloha,0.54666666666667
AdamiakB,D Ravenna Div 2,0.42
AdamoT,D Sahara Div 2,0.49333333333333
AdamsA5,C Tundra,0.52
AdamsAE,E Keystone Div 1,0.3
AdamsAJH,B Skyline,0.63768115942029
AdamsB,A Cypress,0.67333333333333
AdamsC,A Zenith,0.62666666666667
AdamsC2,E Eclipse Div 1,0.38
AdamsC4,C Fjord,0.47916666666667
AdamsCD,D Polaris Div 1,0.51388888888889
AdamsCJ,A Ranger,0.76
AdamsD,D Olympic Div 1,0.48
AdamsDG,E Quarry Div 2,0.22916666666667
AdamsEeee,R Div 42,0.16666666666667
AdamsEk,A Central,0.68
AdamsErik,C Ravenna Div 1,0.61594202898551
AdamsG,C Village,0.51333333333333
AdamsJ33,A Taiga,0.73333333333333
AdamsJ42,D Oasis Div 2,0.4375
AdamsJ5,B Keystone,0.57333333333333
AdamsJL,D Xanadu Div 1,0.37333333333333
AdamsJLP,D Mojave Div 1,0.4
AdamsJoren,D Lyceum Div 2,0.4375
AdamsKeith,A Redwoods,0.81333333333333
AdamskiD,D Rubicon Div 1,0.52083333333333
AdamsL2,D Nighthawk Div 2,0.44444444444444
AdamsL4,D Gulf Div 2,0.38
AdamsL8,E Peninsula Div 2,0.32666666666667
AdamsM2,B Memorial,0.61333333333333
AdamsM42,A Quetzal,0.76
AdamsMD,E Vista Div 1,0.36666666666667
AdamsN2,B Cardinal,0.60666666666667
AdamsN32,A Coral,0.64
AdamsN98,R Div 58,0.26666666666667
AdamsNP,E Fjord Div 2,0.52272727272727
AdamsonR,D Outback Div 2,0.47222222222222
AdamsPL,C Cove,0.56666666666667
AdamsR2,E Tempest Div 2,0.13768115942029
AdamsRS,D Sahara Div 1,0.48
AdamsS Philly,B River,0.51333333333333
AdamsS21,D Garden Div 2,0.44202898550725
AdamsS6,E Oxbow Div 1,0.3
AdamsS86,B Centennial,0.6
AdamsSA,C Central,0.45333333333333
AdamsSE,B Coral,0.59333333333333
AdamsT3,D Highland Div 2,0.42361111111111
AdamsT5,E Prairie Div 2,0.19333333333333
AdamsWK,D Ocean Div 1,0.51388888888889
AdamsZ,E Coastal Div 2,0.28787878787879
AdamsZ2,R Div 8,0.44927536231884
AdayJ,D Bayou Div 2,0.49333333333333
AdcockM,D Valley Div 2,0.33333333333333
AdcoxT,A Highland,0.60666666666667
AddelsonJ,B Cosmos,0.68
AddlemanR,D Commonwealth Div 2,0.42666666666667
AdelG,B Piedmont,0.62
AdelsonJoshua,A Central,0.78666666666667
AderholdE,D Badlands Div 2,0.58666666666667
AdesanyaG,B Monolith,0.65972222222222
AdewoyeT,R Div 1,0.29861111111111
AdharS,A Xanadu,0.71739130434783
AdiliJ,E Sequoia Div 1,0.3125
AdjeiK,E Foothills Div 2,0.23015873015873
AdkinsJ,A Avalon,0.67333333333333
AdkinsJ3,E Tidewater Div 1,0.34
AdkinsJK,B Avalon,0.65151515151515
AdkinsN,D Meadow Div 1,0.63333333333333
AdkinsT,C Savanna Div 1,0.46
AdkisonD,C Redwoods,0.66
AdkisonS,E Junction Div 2,0.28666666666667
AdlandN,D Byzantium Div 1,0.50694444444444
AdlandP,B Byzantium,0.56666666666667
AdleB,D Midland Div 2,0.34027777777778
AdlerA,D Aloha Div 2,0.58
AdlerJ,E Centennial Div 1,0.32638888888889
AdlerK,E Aloha Div 1,0.29333333333333
AdlerN,E Nova Div 2,0.4
AdlerS,R Div 65,0.72666666666667
AdlerW,D Byzantium Div 2,0.5625
AdoremosF,D Harbor Div 1,0.38888888888889
AdragnaA,C Blue,0.61333333333333
AdunbarinB,E Ziggurat Div 1,0.075
AdusumilliV,A Laguna,0.8
Aefskysa,D Cypress Div 2,0.49333333333333
AffeldtK,E Ocean Div 2,0.28571428571429
Affleck K,D Maritime Div 2,0.48666666666667
AffleckA29,A Seneca,0.76388888888889
AffonsoA,C Arcadia,0.56
AffourtitJ,C Cosmos Div 1,0.56
AfrinJ,E Arctic Div 1,0.34
AfshordiR,E Elysium Div 2,0.34666666666667
AganA,C Xanadu,0.59333333333333
AganC,B Xanadu,0.79333333333333
AganCE,C Xanadu,0.65333333333333
AgapiouM,E Evergreen Div 1,0.27333333333333
AgarSDW,D Eclipse Div 2,0.53333333333333
AgarwalA2,E Sycamore Div 1,0.475
AgarwalP,E Lyceum Div 1,0.38194444444444
AgarwalP2,D Olympic Div 2,0.55333333333333
AgarwalPo,B Waterfront,0.61333333333333
AgarwalR11,D Savanna Div 1,0.34057971014493
AgarwalS,E Labyrinth Div 2,0.42424242424242
AgarwalT,E Tranquility Div 2,0.29333333333333
AgaseJ,D Central Div 1,0.48666666666667
AgaseM,E Central Div 1,0.44
AgattasE,R Div 75,0.28
AgeeM,C Kookaburra,0.40277777777778
AgesS,D Foothills Div 1,0.54
AggarwalA,B Maritime,0.77083333333333
AggergaardR,D Aurora Div 1,0.46666666666667
AglesG,D Central Div 2,0.38
AgnewC,B Woodlands,0.60666666666667
AgocsC,D Memorial Div 1,0.45333333333333
AgostiniG,E Maritime Div 2,0.36
AgrawalA2,B Sunrise,0.71333333333333
AgrawalN,C Labyrinth Div 1,0.56
AgrestaA,D Galaxy Div 2,0.51333333333333
AgrestiB,D Sakura Div 2,0.43333333333333
AguadoA,E Volcano Div 2,0.32666666666667
Aguilar-FragaT628,B Badlands,0.66
Ah YongJ,C Nebula,0.60144927536232
AhamedA,E Rainbow Div 2,0.5
AhamedN,D Ranger Div 2,0.50694444444444
AhasicE,A Harbor,0.72916666666667
AhearnL,C Waterfront Div 1,0.61333333333333
AhearnM,E Lyceum Div 2,0.32666666666667
AhernA,D Tundra Div 2,0.48666666666667
AhernC,B Maelstrom,0.68
AhernC2,E Eclipse Div 2,0.36666666666667
AhlbachJ,D Evergreen Div 2,0.53333333333333
AhlfieldJ,A Tranquility,0.71333333333333
AhlstromA,A Xanadu,0.54
AhluwaliaS,B Orchard,0.79333333333333
AhmadM,D Gulf Div 1,0.38
AhmadM2,D Meadow Div 2,0.52898550724638
Ahmed WhitfieldRumesha,E Meadow Div 1,0.26811594202899
AhmedHS,D Willow Div 1,0.38888888888889
AhmedMZ,B Savanna,0.68
AhmedO,C River,0.56944444444444
AhmedQ,E Patagonia Div 1,0.36666666666667
AhmedR,E Laguna Div 2,0.44202898550725
AhmedS,E Canyon Div 1,0.45333333333333
AhmedS7,C Village,0.49333333333333
AhmedZ2,B Island,0.77777777777778
AhnbergM,C Jungle Div 2,0.56666666666667
AhnM,A Orange,0.75333333333333
AhrensF,E Highland Div 2,0.16
