Player,Rundle,QPct,Rundle Group,Percentile
A ClergetS,D Arctic Div 2,0.48666666666667,D,0.5795540438397582
AagaardK,D Patagonia Div 1,0.52,D,0.740551776266062
AakaluV,D Riviera Div 1,0.42666666666667,D,0.2510078105316201
AakerJ,E Tempest Div 1,0.40666666666667,E,0.7097552365262415
AanensenK,E Maritime Div 1,0.36,E,0.49658743233702046
AarhusD,B Denali,0.74,B,0.9414650844363305
AaronA,A Rubicon,0.68055555555556,A,0.20805207328833172
AaronK,B Coastal,0.66666666666667,B,0.6765175718849841
AaronsonA47,D Labyrinth Div 2,0.52,D,0.740551776266062
AaronsonS,A Oasis,0.82,A,0.8735535197685632
Aas S,B Nighthawk,0.60666666666667,B,0.30431309904153353
AasengM,E Mesa Div 1,0.39333333333333,E,0.6524476347375853
AbadiM,D Metro Div 2,0.59333333333333,D,0.9546485260770975
AbateS,E Tundra Div 1,0.36805555555556,E,0.5384796422687691
AbbasA,E Nebula Div 1,0.3125,E,0.2813014827018122
AbbettW,D Foothills Div 2,0.6,D,0.964222726127488
Abbott-KlineT,E Valhalla Div 2,0.45833333333333,E,0.8788538479642268
AbbottC,E Delta Div 2,0.45138888888889,E,0.8613203106613321
AbbottN,R Div 64,0.76388888888889,R,0.9830677290836654
AbbottS2,D Alpine Div 1,0.52380952380952,D,0.7595742000503906
AbdalianA,B Commonwealth,0.69333333333333,B,0.8053400273847559
AbdullaS,C Horizon,0.68666666666667,C,0.9700710179235712
AbelE,C Willow,0.5530303030303,C,0.4403111261413595
AbelesD,C Peninsula,0.6,C,0.7252282718971931
AbelG,C Pioneer Div 2,0.53333333333333,C,0.3408014879945891
AbelJ,A Nebula,0.65333333333333,A,0.11053519768563164
AbellaJ,D Garden Div 1,0.48,D,0.5380448475686571
AbelmanJA,D Horizon Div 2,0.43478260869565,D,0.2960443436633913
AbelowJ,C Highland,0.56666666666667,C,0.5381298613459587
AbelSR,D Waterfront Div 1,0.52,D,0.740551776266062
AbendA,B Polaris,0.66666666666667,B,0.6765175718849841
AbendB,E Quay Div 2,0.32,E,0.3191339138620852
AbendM,B Foothills,0.625,B,0.4088315837517115
AbensR,E Skyline Div 2,0.30666666666667,E,0.2652388797364086
AbernathyC,D Rainbow Div 1,0.37333333333333,D,0.07747543461829176
AbernethyD,A Valhalla,0.68055555555556,A,0.20805207328833172
AbernethyK,R Div 50,0.42,R,0.49252988047808766
AbidiA,E Sunrise Div 1,0.40666666666667,E,0.7097552365262415
AbiSamraF,E Sahara Div 2,0.3,E,0.23682042833607908
AbolafiaD,A Zenith,0.91333333333333,A,0.9904773384763742
AbonamahJ,E Frontier Div 2,0.38194444444444,E,0.605495410684867
Abou-SayedT,A River,0.93333333333333,A,0.9963837994214079
AboutorabiB,B Plateau,0.65333333333333,B,0.6061159287996348
AbplanalpJ,E Highland Div 2,0.29166666666667,E,0.20192986585078843
AbrahamC2,E Veldt Div 2,0.31818181818182,E,0.30277712402918333
AbrahamC4,C Outback,0.64666666666667,C,0.9094521474467365
AbrahamianT,E Rainbow Div 2,0.49166666666667,E,0.9411037891268533
AbrahamJ,A Oasis,0.68,A,0.195877531340405
AbrahamM,B Pampas,0.54,B,0.06937471474212688
AbrahamN,D Coastal Div 2,0.33333333333333,D,0.02765180146132527
AbrahamP,D Cypress Div 1,0.53472222222222,D,0.8089569160997733
AbrahamS2,B Skyline,0.61333333333333,B,0.3402555910543131
AbrahamsonS,A Cove,0.76,A,0.6100530376084861
AbramowitzA,E Jungle Div 3,0.32666666666667,E,0.348670275358908
Abrams-DowneyS,A Monolith,0.76666666666667,A,0.6452507232401157
Abrams-SlepT,E Peninsula Div 2,0.39333333333333,E,0.6524476347375853
AbramsA17,R Div 11,0.38666666666667,R,0.4081175298804781
AbramsA2,D Magnolia Div 2,0.5,D,0.6482111363063744
AbramsC,A Junction,0.76,A,0.6100530376084861
AbramsG,C Junction,0.51333333333333,C,0.2315691579303348
AbramsM,D Centennial Div 2,0.54,D,0.8239480977576216
AbramsonG,B Sierra,0.68666666666667,B,0.7757873117298038
AbramsonJ2,C Bayou,0.6,C,0.7252282718971931
AbreschS2,B Maelstrom,0.62666666666667,B,0.4324509356458238
AbreschSE,E Maelstrom Div 1,0.3,E,0.23682042833607908
AbrewN,R Div 65,0.62,R,0.8854581673306773
AbruscatoB,E Blue Div 1,0.24666666666667,E,0.09313956224994116
AbuzaDave,D Eclipse Div 1,0.44666666666667,D,0.3510959939531368
AbzugS,E Badlands,0.42361111111111,E,0.7754177453518475
AccinnoM,E Tranquility Div 1,0.42666666666667,E,0.7850670746057896
AcerB,E Morningstar Div 2,0.36231884057971,E,0.5142386443869146
AcevedoD,E Ziggurat Div 2,0.42666666666667,E,0.7850670746057896
AcevedoJF,R Div 48,0.44,R,0.541085657370518
AcharyaA,E Pacific Div 2,0.32666666666667,E,0.348670275358908
AcharyaR,C Waterfront Div 1,0.59420289855072,C,0.7028238079134258
AcheeJ,B Ridge,0.56666666666667,B,0.13395709721588317
AchesonD,C Prairie,0.56,C,0.49754819073385187
AchkarP,D Waterfront Div 2,0.53030303030303,D,0.7860922146636432
AckA,D Evergreen Div 1,0.5,D,0.6482111363063744
AckellW,C Nighthawk,0.54347826086957,C,0.4020967196482922
Acker-RothenbergL,E Prairie Div 2,0.43055555555556,E,0.7978936220287126
AckerM,C Mesa Div 1,0.59420289855072,C,0.7028238079134258
Ackerman-GreenbergA,R Div 69,0.40666666666667,R,0.4604083665338645
AckermanR2,C Prairie,0.68,C,0.9629692255664525
Acosta-FoxR,D Sakura Div 2,0.45333333333333,D,0.3875031494079113
AcostaAS,E Wilderness Div 2,0.28,E,0.17027535890797835
ActonA,D Obsidian Div 1,0.44666666666667,D,0.3510959939531368
ActonS,C Mojave Div 2,0.60144927536232,C,0.7390936760229962
AdairS,D Highland Div 2,0.52777777777778,D,0.7804862685815067
AdajarP,R Div 53,0.46,R,0.585906374501992
AdamczykA,D Wilderness Div 2,0.51333333333333,D,0.708742756361804
AdamekD,C Aloha Div 2,0.52,C,0.2670781197159283
AdamiakB,E Ravenna Div 1,0.43055555555556,E,0.7978936220287126
AdamoT,D Sahara Div 1,0.57638888888889,D,0.926933736457546
AdamsA5,C Tundra,0.52,C,0.2670781197159283
AdamsA6,R Div 33,0.64492753623188,R,0.9143426294820717
AdamsAE,E Keystone Div 2,0.30666666666667,E,0.2652388797364086
AdamsAJH,B Skyline,0.68115942028986,B,0.761296211775445
AdamsB,A Cypress,0.76666666666667,A,0.6452507232401157
AdamsC,A Zenith,0.66,A,0.12970106075216972
AdamsC2,E Eclipse Div 2,0.39333333333333,E,0.6524476347375853
AdamsC4,C Fjord,0.50666666666667,C,0.19851200541088942
AdamsCD,D Polaris Div 2,0.45454545454545,D,0.4028092718568909
AdamsCJ,A Ranger,0.8,A,0.8024349083895853
AdamsD,D Olympic Div 1,0.50666666666667,D,0.6773746535651297
AdamsD42,R Div 34,0.45652173913043,R,0.578187250996016
AdamsDG,E Quarry Div 1,0.27333333333333,E,0.15409508119557544
AdamsEk,A Central,0.74,A,0.5003616200578592
AdamsErik,C Ravenna Div 1,0.52083333333333,C,0.28373351369631383
AdamsG,C Village,0.53333333333333,C,0.3408014879945891
AdamsJ33,B Taiga,0.80666666666667,B,0.9917845732542219
AdamsJ42,D Oasis Div 2,0.44666666666667,D,0.3510959939531368
AdamsJ5,B Keystone,0.59333333333333,B,0.23733455043359197
AdamsJ89,R Div 23,0.44,R,0.541085657370518
AdamsJL,E Xanadu Div 1,0.39583333333333,E,0.6682748882089904
AdamsJLP,D Mojave Div 1,0.48666666666667,D,0.5795540438397582
AdamsJoren,D Lyceum Div 2,0.49333333333333,D,0.6175988914084152
AdamsKeith,A Redwoods,0.78666666666667,A,0.7460221793635486
AdamskiD,D Rubicon Div 2,0.5,D,0.6482111363063744
AdamsL2,D Nighthawk Div 1,0.34722222222222,D,0.04113126732174351
AdamsL4,D Gulf Div 2,0.45333333333333,D,0.3875031494079113
AdamsL8,E Peninsula Div 2,0.32638888888889,E,0.3371969875264768
AdamsM2,A Memorial,0.71333333333333,A,0.35040983606557374
AdamsM42,A Quetzal,0.79333333333333,A,0.7750723240115719
AdamsMD,D Vista Div 1,0.37333333333333,D,0.07747543461829176
AdamsMda48,R Div 1,0.56818181818182,R,0.8192231075697212
AdamsN2,B Cardinal,0.62666666666667,B,0.4324509356458238
AdamsN32,A Coral,0.64,A,0.07907425265188042
AdamsN98,E Commonwealth Div 2,0.38888888888889,E,0.6344433984466933
AdamsNP,E Fjord Div 2,0.5,E,0.9545187102847729
AdamsonR,D Outback Div 2,0.53703703703704,D,0.8150667674477198
AdamsPL,C Cove,0.6,C,0.7252282718971931
AdamsR2,E Tempest Div 1,0.19444444444444,E,0.028241939279830548
AdamsRS,D Sahara Div 2,0.56,D,0.8873141849332326
AdamsS Philly,B River,0.59333333333333,B,0.23733455043359197
AdamsS1977,R Div 75,0.45333333333333,R,0.5717131474103586
AdamsS21,E Garden Div 2,0.49242424242424,E,0.9419275123558485
AdamsS6,E Oxbow Div 1,0.36,E,0.49658743233702046
AdamsS86,B Centennial,0.61333333333333,B,0.3402555910543131
AdamsSA,C Central,0.5,C,0.17348664186675686
AdamsSE,C Coral Div 2,0.5530303030303,C,0.4403111261413595
AdamsT3,D Highland Div 2,0.40666666666667,D,0.1675485008818342
AdamsT5,E Prairie Div 1,0.28666666666667,E,0.1892798305483643
AdamsWK,C Ocean,0.56666666666667,C,0.5381298613459587
AdamsZ,E Coastal Div 2,0.30434782608696,E,0.25017651212049896
AdamsZ2,D Laguna Div 2,0.52898550724638,D,0.7845804988662132
AdayJ,D Bayou Div 2,0.49333333333333,D,0.6175988914084152
AdcockM,D Valley Div 1,0.36507936507937,D,0.060279667422524566
AdcoxT,A Highland,0.63333333333333,A,0.06738187078109932
AddamsS,R Div 34,0.26,R,0.11877490039840638
AddelsonJ,A Cosmos,0.68666666666667,A,0.22372227579556414
AddlemanR,D Commonwealth Div 2,0.44,D,0.31494079113126733
AdelG,B Piedmont,0.62666666666667,B,0.4324509356458238
AdelsonJoshua,A Central,0.73333333333333,A,0.4641996142719383
AderholdE,D Badlands Div 2,0.60666666666667,D,0.9711514235323759
AdewoyeT,E Zephyr Div 1,0.29166666666667,E,0.20192986585078843
AdharS,B Xanadu,0.61805555555556,B,0.3607941579187586
AdiliJ,E Sequoia Div 1,0.36363636363636,E,0.5168863261943987
AdjeiK,E Foothills Div 1,0.3125,E,0.2813014827018122
AdkinsJ,A Avalon,0.67333333333333,A,0.17104628736740599
AdkinsJ3,E Tidewater Div 1,0.47333333333333,E,0.9147446457990115
AdkinsJK,C Avalon,0.64393939393939,C,0.9006594521474467
AdkinsN,C Meadow Div 2,0.58666666666667,C,0.647362191410213
AdkinsT,C Savanna,0.48666666666667,C,0.12757862698681097
AdkisonD,B Redwoods,0.68,B,0.7426973984481972
AdkisonS,D Junction Div 1,0.34,D,0.03269085411942555
AdlandN,D Byzantium Div 1,0.50694444444444,D,0.6919879062736206
